Date,Per Share Data,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Cash per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,,Ratios,ROE %,ROE % Adjusted to Book Value,ROA %,Return-on-Tangible-Equity,Return-on-Tangible-Asset,ROC (Joel Greenblatt) %,ROCE %,5-Year RORE %,1-Year ROIIC %,ROIC %,WACC %,Effective Interest Rate on Debt %,,Gross Margin %,Operating Margin %,Net Margin %,EBITDA Margin %,FCF Margin %,,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Liabilities-to-Assets,Gross-Profit-to-Asset %,Degree of Operating Leverage,Degree of Financial Leverage,,Asset Turnover,Dividend Payout Ratio,,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,,Receivables Turnover,Inventory Turnover,COGS-to-Revenue,RD-to-Revenue,Inventory-to-Revenue,Capex-to-Revenue,Capex-to-Operating-Income,Capex-to-Operating-Cash-Flow,,Income Statement,Revenue,  Cost of Goods Sold,Gross Profit,Gross Margin %,,"  Selling, General, & Admin. Expense",  Research & Development,  Other Operating Expense,  Total Operating Expense,Operating Income,Operating Margin %,,    Interest Income,    Interest Expense,  Net Interest Income,  Other Income (Expense),Pretax Income,  Tax Provision,  Tax Rate %,  Other Net Income (Loss),  Net Income Including Noncontrolling Interests,    Net Income (Continuing Operations),    Net Income (Discontinued Operations),  Other Income (Minority Interest),Net Income,Net Margin %,,  Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),,EBIT,"  Depreciation, Depletion and Amortization",EBITDA,EBITDA Margin %,,Balance Sheet,    Cash and Cash Equivalents,    Marketable Securities,"  Cash, Cash Equivalents, Marketable Securities",    Accounts Receivable,    Notes Receivable,    Loans Receivable,    Other Current Receivables,  Total Receivables,"    Inventories, Raw Materials & Components","    Inventories, Work In Process","    Inventories, Inventories Adjustments","    Inventories, Finished Goods","    Inventories, Other",  Total Inventories,  Other Current Assets,  Total Current Assets,  Investments And Advances,      Land And Improvements,      Buildings And Improvements,"      Machinery, Furniture, Equipment",      Construction In Progress,      Other Gross PPE,"    Gross Property, Plant and Equipment",    Accumulated Depreciation,"  Property, Plant and Equipment",  Intangible Assets,    Goodwill,  Other Long Term Assets,  Total Long-Term Assets,Total Assets,,    Accounts Payable,    Total Tax Payable,    Other Current Payables,    Current Accrued Expense,  Accounts Payable & Accrued Expense,    Short-Term Debt,    Short-Term Capital Lease Obligation,  Short-Term Debt & Capital Lease Obligation,    Current Deferred Revenue,    Current Deferred Taxes Liabilities,  Deferred Tax And Revenue,  Other Current Liabilities,  Total Current Liabilities,    Long-Term Debt,    Long-Term Capital Lease Obligation,  Long-Term Debt & Capital Lease Obligation,Debt-to-Equity,  Pension And Retirement Benefit,  NonCurrent Deferred Liabilities,  Other Long-Term Liabilities,  Total Long-Term Liabilities,Total Liabilities,,  Common Stock,  Preferred Stock,  Retained Earnings,  Accumulated other comprehensive income (loss),  Additional Paid-In Capital,  Treasury Stock,  Other Stockholders Equity,  Total Stockholders Equity,  Minority Interest,Total Equity,Equity-to-Asset,,Cashflow Statement,  Net Income From Continuing Operations,"  Cash Flow Depreciation, Depletion and Amortization",    Change In Receivables,    Change In Inventory,    Change In Prepaid Assets,    Change In Payables And Accrued Expense,    Change In Other Working Capital,  Change In Working Capital,  Deferred Tax,  Stock Based Compensation,  Asset Impairment Charge,  Cash from Discontinued Operating Activities,  Cash Flow from Others,Cash Flow from Operations,,"  Purchase Of Property, Plant, Equipment","  Sale Of Property, Plant, Equipment",  Purchase Of Business,  Sale Of Business,  Purchase Of Investment,  Sale Of Investment,  Net Intangibles Purchase And Sale,  Cash From Discontinued Investing Activities,  Cash From Other Investing Activities,Cash Flow from Investing,,  Issuance of Stock,  Repurchase of Stock,  Net Issuance of Preferred Stock,    Issuance of Debt,    Payments of Debt,  Net Issuance of Debt,  Cash Flow for Dividends,  Cash Flow for Lease Financing,  Other Financing,Cash Flow from Financing,,  Beginning Cash Position,    Effect of Exchange Rate Changes,  Net Change in Cash,Ending Cash Position,,Capital Expenditure,Free Cash Flow,,Valuation Ratios,PE Ratio,PE Ratio without NRI,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,EV-to-FCF,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Cyclically Adjusted PB Ratio,Cyclically Adjusted PS Ratio,Cyclically Adjusted Price-to-FCF,Dividend Yield %,FCF Yield %,,Valuation and Quality,Market Cap,Enterprise Value,Month End Stock Price,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Cash Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,Buyback Yield %,Shareholder Yield %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth (%),5-Year EBITDA Growth Rate (Per Share),Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Restated Filing Date,Filing Date,Earnings Release Date,Number of Shareholders,Number of Employees,,Forex Rate
1989-09,,0.368,0.053,0.044,0.032,0.027,-,0.019,0.035,0.031,0.004,0.105,0.105,0.004,0.4,,,36.479,9.58,18.8148,36.479,18.8148,165.53,40.875,33.75,3.2,22.06,17.44,-,,51.36,12.0042,8.592,14.366,5.0776,,0.038,0.541,0.021,0.46,112.474,0.08,6.38,,2.19,0.133,,-,47.46,66.53,19.07,,-,5.49,0.49,-,0.089,0.05,0.38,0.47,,,5284,2570,2714,51.36,,1954.9,-,124.8,2079.7,634.3,12.0042,,-,-,-,110,744.3,-290.3,39,-,454,454,-,-,454,8.592,,-,0.032,0.032,14363.842,,634.3,124.8,759.1,14.366,,,438.3,-,438.3,-,-,-,792.8,792.8,-,-,-,-,475.4,475.4,587.9,2294.4,-,-,-,-,-,643.3,643.3,-309.1,334.2,-,-,115.3,449.5,2743.9,,334.2,-,-,-,334.2,56.8,-,56.8,-,-,-,504.3,895.3,-,-,-,0.038,-,362.9,-,362.9,1258.2,,-,-,1175.9,-,-,-,309.8,1485.7,-,1485.7,0.541,,,454,124.8,-154,-13.9,-,-,58.9,-109,111.3,-,-,-,-73.8,507.3,,-239,-,-,-,-984.7,787.4,-,-,33.2,-403.1,,96,-12.9,-,-,-71.1,-71.1,-50.3,-,-,-38.3,,-,-,65.9,-,,-239,268.3,,,12.5,14.81,-,3.81,3.81,21.05,11.43,1.09,-,1,6.95,8.32,19.66,12.02,-,-,-,-,-,0.9,4.74,,,5656.896,5275.396,0.4,-0.06,0.07,-0.04,0.08,-,-,0.25,-,5.84,2,-2.21,0.53,12.75,2.56,2.03,0.49,10000,0.44,0.3,-2.85,-1.47,0.69,31.52,14.93,10.21,-,14363.842,14142.24,1.57,-,-,-,-,-,,1
1990-09,,0.395,0.065,0.051,0.034,0.031,0.055,0.053,0.069,0.029,0.004,0.112,0.112,0.009,0.26,,,32.389,13.95,16.6061,32.3887,16.6061,107.92,37.5,22.86,-69.13,20.53,16.39,-,,56.76,12.8094,8.5438,16.4562,13.306,,0.085,0.486,0.041,0.51,110.319,2.36,0.51,,1.944,0.127,,-,51.24,63.09,11.85,,-,5.79,0.43,-,0.075,0.04,0.32,0.23,,,5558.4,2403.5,3154.9,56.76,,2240.2,-,202.7,2442.9,712,12.8094,,-,-,-,66.5,778.5,-303.6,39,-,474.9,474.9,-,-,474.9,8.5438,,-,0.034,0.034,14071.111,,712,202.7,914.7,16.4562,,,374.7,-,374.7,-,-,-,761.9,761.9,-,-,-,-,355.5,355.5,911.2,2403.3,-,-,-,-,-,844.9,844.9,-446.7,398.2,-,-,174.2,572.4,2975.7,,340.6,-,-,-,340.6,122.6,-,122.6,-,-,-,563.8,1027,-,-,-,0.085,-,501.8,0.1,501.9,1528.9,,-,-,1312.2,-,-,-,134.6,1446.8,-,1446.8,0.486,,,474.9,202.7,31,119.9,-,-52.5,46.9,145.3,138.9,-,-,-,2.1,963.9,,-224.3,-,-,-,-1424.4,1172.7,-,-,-97.5,-573.5,,103.5,-569.6,-,65.9,-,65.9,-53.8,-,-,-454,,-,-,-63.6,-,,-224.3,739.6,,,7.65,8.39,4.73,2.32,2.32,4.91,3.77,0.66,-,0.56,3.4,4.36,4.2,22.94,-,-,-,-,-,1.52,22.02,,,3359.254,3107.154,0.26,-0.09,0.07,-0.08,0.22,-,-,0.28,0.53,5.22,6,-2.84,0.435,2.84,2.34,1.99,0.36,10000,0.44,0.25,8.64,13.88,15.34,7.38,6.78,23,-,14071.111,12920.208,1.31,-,-,-,-,14517,,1
1991-09,,0.469,0.048,0.033,0.023,0.021,-0.006,-0.007,0.01,0.046,0.004,0.133,0.133,0.011,0.44,,,19.281,5.84,9.5775,19.2812,9.5775,59.95,21.173,7.02,-57.72,11.57,14.56,-,,50.71,7.0901,4.9106,10.33,-1.4202,,0.084,0.506,0.043,0.49,98.901,-2.75,0.87,,1.95,0.208,,-,40.95,60.28,19.34,,-,6.05,0.49,-,0.081,0.03,0.49,1.7,,,6308.8,3109.7,3199.1,50.71,,2547.4,-,204.4,2751.8,447.3,7.0901,,-,-,-,52.4,499.7,-189.9,38,-,309.8,309.8,-,-,309.8,4.9106,,-,0.023,0.023,13448.682,,447.3,204.4,651.7,10.33,,,604.1,-,604.1,-,-,-,907.2,907.2,-,-,-,-,671.7,671.7,680.6,2863.6,-,-,-,-,-,1036,1036,-588,448,-,-,182,630,3493.6,,357.1,-,-,-,357.1,148.6,-,148.6,-,-,-,711.4,1217.1,-,-,-,0.084,-,509.9,-0.1,509.8,1726.9,,-,-,1492,-,-,-,274.7,1766.7,-,1766.7,0.506,,,309.8,204.4,-145.3,-316.2,-,-18.4,79.2,-400.7,8,-,-,-,7.2,128.7,,-218.3,-,-,-,-610.7,944.5,-,-,-57.2,58.3,,257.7,-184.7,-,25.9,-,25.9,-56.5,-,0.1,42.5,,-,-,229.5,-,,-218.3,-89.6,,,19.13,20.95,-,3.3,3.3,-,44,0.94,-,0.85,8.25,12.02,-60.03,8.32,-,-,-,-,-,0.97,-1.54,,,5834.062,5378.562,0.44,-0.08,0.09,-0.06,0.21,-,-,0.25,0.62,5.47,5,-2.12,0.441,3.51,2.35,1.8,0.5,10000,0.65,0.22,-2.62,-1.25,-0.7,18.75,-31.75,-25.46,-,13448.682,13259.232,1.22,-,-,-,-,14432,,1
1992-09,,0.516,0.079,0.063,0.039,0.04,0.06,0.053,0.067,0.038,0.004,0.165,0.165,0.014,0.4,,,26.826,11.06,13.745,26.8265,13.745,89.75,34.057,8.09,29.01,17.14,14.28,5.23,,43.68,11.371,7.4842,15.259,10.2465,,0.084,0.518,0.044,0.48,80.215,7.55,0.75,,1.837,0.107,,-,35.85,57.24,21.39,,-,6.38,0.56,-,0.088,0.03,0.24,0.21,,,7086.542,3991.337,3095.205,43.68,,1687.262,602.135,-,2289.397,805.808,11.371,,71.686,-8.708,62.978,-13.344,855.442,-325.069,38,-,530.373,530.373,-,-,530.373,7.4842,,-,0.039,0.039,13729.632,,864.15,217.182,1081.332,15.259,,,498.6,-,498.6,-,-,-,1087.2,1087.2,-,-,-,-,580.1,580.1,1392.5,3558.4,-,-,-,-,-,1135.6,1135.6,-673.4,462.2,-,-,203.1,665.3,4223.7,,426.9,-,-,-,426.9,184.5,-,184.5,-,-,-,814.1,1425.5,-,-,-,0.084,-,610.8,-,610.8,2036.3,,-,-,1904.5,-,-,-,282.9,2187.4,-,2187.4,0.518,,,530.373,217.182,-180.026,91.558,-,112.886,134.313,158.731,100.9,-,-,-,-86.213,920.973,,-194.853,-,-,-,-2121.341,1472.97,-,-,-69.41,-912.634,,120.388,-212.625,-,35.504,-,35.504,-57.196,-,-,-113.929,,604.147,-,-105.59,498.557,,-194.853,726.12,,,10.26,10,6.67,2.43,2.43,7.55,5.97,0.78,-,0.7,4.62,5.78,6.88,17.3,-,-,-,-,-,1.06,13.68,,,5307.859,4993.759,0.4,-0.12,0.11,-0.09,0.37,-,-,0.38,0.6,5.15,7,-2.59,0.536,12.36,2.5,2.09,0.35,92.54,0.62,0.39,-0.08,1.74,1.8,10.03,67.83,62.53,-,13718.88,13269.648,1.38,12/13/94,12/13/94,-,-,14798,,1
1993-09,,0.594,0.024,0.011,0.007,0.022,-0.064,-0.064,-0.048,0.069,0.004,0.156,0.156,0.064,0.21,,,4.129,3.06,1.852,4.1293,1.852,8.41,5.566,-23.89,95.02,8.43,14.69,2.37,,34.2,5.403,1.0906,3.9865,-10.8311,,0.41,0.392,0.161,0.61,58.073,-6.56,1.06,,1.698,0.192,,63.23,40.66,72.55,95.12,,5.77,5.03,0.66,-,0.131,0.03,0.49,-,,,7977,5249,2728,34.2,,1632,665,-,2297,431,5.403,,70,-12,58,-349,140,-53,37.86,-,87,87,-,-,87,1.0906,,-,0.007,0.007,13424,,152,166,318,3.9865,,,676.413,215.89,892.303,1381.946,-,-,-,1381.946,-,-,-,-,1506.638,1506.638,557.47,4338.355,-,404.688,-,746.177,-,261.792,1412.657,-753.111,659.546,-,-,173.511,833.057,5171.412,,742.622,-,-,482.479,1225.101,823.182,-,823.182,-,-,-,459.802,2508.085,7.117,-,7.117,0.41,-,629.832,-,636.949,3145.034,,203.613,-,1842.6,-19.835,-,-,-,2026.378,-,2026.378,0.392,,,87,166,-295,-927,-,519,-214,-917,19,-,-,-,-6,-651,,-213,-,-,-,-1432,2153,-,-,-15,493,,85,-273,-,639,-11,628,-56,-,-48,336,,498,-,178,676,,-213,-864,,,30,9.55,-,1.35,1.35,-,-,0.35,-,0.33,8.4,17.56,-3.09,5.69,-,-,-,-,-,2.05,-31.63,,,2731.777,2669.773,0.21,-0.17,0.09,-0.04,0.21,-,-,0.28,0.51,3.08,2,-1.33,0.465,4.74,1.73,1.13,0.36,35.92,0.58,0.21,1.97,6.88,1.22,15.13,-83.14,-69.92,-,13342,13008.464,1.83,12/19/95,12/19/95,-,-,14938,,1
1994-09,,0.691,0.053,0.041,0.023,0.019,0.041,0.043,0.055,0.094,0.004,0.178,0.178,0.045,0.3,,,14.061,8.34,5.9192,14.0609,5.9192,23.21,17.933,-10.58,32.72,8.11,14.6,5.6,,25.5,4.2986,3.3736,7.7049,6.2792,,0.251,0.449,0.113,0.55,44.738,16.39,1.44,,1.755,0.231,,58.85,43.31,69.17,84.7,,6.2,5.28,0.75,-,0.141,0.02,0.41,0.22,,,9189,6846,2343,25.5,,1384,564,-,1948,395,4.2986,,43,-40,3,102,500,-190,38,-,310,310,-,-,310,3.3736,,-,0.023,0.023,13298.32,,540,168,708,7.7049,,,1203,55,1258,1581,-,-,-,1581,469,207,-,412,-,1088,549,4476,-,484,-,731,-,237,1452,-785,667,-,-,160,827,5303,,882,-,-,178,1060,292,-,292,-,-,-,592,1944,305,-,305,0.251,-,671,-,976,2920,,298,-,2096,-,-,-,-11,2383,-,2383,0.449,,,310,168,-199,418,-,-111,140,248,-,-,-,-,11,737,,-160,-,-,-,-312,474,-,-,-4,-2,,82,-,-,297,-531,-234,-56,-,-,-208,,676,-,527,1203,,-160,577,,,13.04,15.79,7.32,1.69,1.69,6.98,5.45,0.43,-,0.37,4.74,6.21,5.82,16.1,-,-,-,-,-,1.42,14.37,,,4016.645,3355.645,0.3,-0.12,0.12,0.01,0.3,-,-,0.27,0.48,4.02,5,-2.57,0.333,-8.01,2.3,1.74,0.65,9.88,0.34,0.2,-2.92,-2.04,-9.98,16.28,257.53,124.75,-,13298.32,13388.816,1.54,12/19/96,12/13/94,-,-,11287,,1
1995-09,,0.803,0.062,0.052,0.031,0.032,-0.029,-0.029,-0.017,0.069,0.004,0.211,0.211,0.055,0.33,,,16.048,10.25,7.3522,16.0484,7.3522,26.98,19.876,7.92,20.39,12.22,16.26,7.05,,25.84,5.9754,3.8329,7.6749,-3.6069,,0.263,0.466,0.123,0.53,49.558,1.77,0.97,,1.918,0.132,,57.94,45.54,63.69,76.09,,6.3,5.73,0.74,-,0.129,0.01,0.24,-,,,11062,8204,2858,25.84,,1583,614,-,2197,661,5.9754,,100,-48,52,-39,674,-250,37.09,-,424,424,-,-,424,3.8329,,-,0.031,0.031,13781.264,,722,127,849,7.6749,,,756,196,952,1931,-,-,-,1931,841,291,-,643,-,1775,566,5224,-,504,-,783,-,205,1492,-781,711,-,-,296,1007,6231,,1165,-,-,291,1456,461,-,461,-,-,-,408,2325,303,-,303,0.263,-,702,-,1005,3330,,398,-,2464,-,-,-,39,2901,-,2901,0.466,,,424,127,-350,-687,-,236,4,-797,-,-,-,-,6,-240,,-159,-,-,-,-1672,1531,-,-,-102,-402,,86,-,-,169,-2,167,-58,-,-,195,,1203,-,-447,756,,-159,-399,,,10.65,10.31,-,1.57,1.57,-,-,0.41,-,0.39,5.13,6.03,-10.92,16.58,-12.81,11.46,2.12,0.66,30.39,1.29,-8.78,,,4543.197,4355.197,0.33,-0.17,0.14,-,0.27,0.81,-,0.39,0.42,4.09,5,-1.48,0.512,17.11,2.25,1.48,0.41,13.77,0.44,0.3,-2.83,-1.89,-0.73,16.16,32.18,15.71,-12.75,13781.264,13767.264,1.99,12/5/97,12/19/95,-,-,13191,,1
1996-09,,0.71,-0.081,-0.089,-0.059,-0.055,0.05,0.025,0.029,0.125,0.001,0.148,0.148,0.081,0.2,,,-32.91,-24.29,-14.075,-32.9099,-14.075,-52.89,-33.989,-421.74,75.76,-24.89,11.07,6.32,,9.84,-12.2445,-8.2986,-11.38,3.4679,,0.552,0.384,0.212,0.62,16.697,24.4,1.06,,1.696,-,,63.6,40.27,50.17,73.51,,5.74,7.28,0.9,-,0.124,0.01,-,0.16,,,9833,8865,968,9.84,,1568,604,-,2172,-1204,-12.2445,,60,-60,-,-91,-1295,479,36.99,-,-816,-816,-,-,-816,-8.2986,,-,-0.059,-0.059,13858.208,,-1235,116,-1119,-11.38,,,1552,193,1745,1496,-,-,-,1496,213,43,-,406,-,662,612,4515,-,480,-,680,-,188,1348,-750,598,-,-,251,849,5364,,791,-,-,555,1346,186,-,186,-,-,-,471,2003,949,-,949,0.552,-,354,-,1303,3306,,439,-,1634,-,-,-,-15,2058,-,2058,0.384,,,-816,116,435,1113,-,-249,230,1529,-437,-,-,-,16,408,,-67,47,-,-,-437,440,-,-,9,-8,,39,-,-,646,-275,371,-14,-,-,396,,756,-,796,1552,,-67,341,,,-,-,4,1.36,1.36,8,6.9,0.28,-,0.22,-1.95,-1.76,6.39,-56.82,-,9.03,1.22,0.35,15.27,0.54,12.23,,,2788.733,2178.733,0.2,-0.11,0.09,-0.01,0.16,0.67,-,-,0.29,2.58,4,-2.96,0.232,-22.67,2.25,1.92,0.87,-,0.37,0.15,-1.28,-1.4,-5.41,-11.6,-291.01,-231.07,-,13858.208,13943.664,0.97,12/23/98,12/19/96,-,-,10896,,1
1997-09,,0.502,-0.061,-0.069,-0.074,-0.054,-0.027,-0.02,0.011,0.102,-,0.073,0.073,0.068,0.19,,,-64.15,-24.74,-21.7776,-64.1498,-21.7776,-88.18,-33.726,91.86,2.54,-41.21,3.01,6.73,,19.32,-10.9871,-14.7578,-12.0887,-3.9966,,0.813,0.283,0.231,0.72,28.509,0.76,-1.31,,1.476,-,,65.23,47.15,35.11,53.19,,5.6,10.4,0.81,-,0.078,0.06,-,2.84,,,7081,5713,1368,19.32,,1286,860,-,2146,-778,-10.9871,,82,-71,11,-278,-1045,-,-,-,-1045,-1045,-,-,-1045,-14.7578,,-,-0.074,-0.074,14118.944,,-974,118,-856,-12.0887,,,1230,229,1459,1035,-,-,-,1035,141,15,-,281,-,437,493,3424,-,453,-,570,-,172,1195,-709,486,-,-,323,809,4233,,685,-,-,586,1271,25,-,25,-,-,-,522,1818,951,-,951,0.813,-,264,-,1215,3033,,498,150,589,-,-,-,-37,1200,-,1200,0.283,,,-1045,118,469,225,-,2,23,719,-50,-,-,-,412,154,,-53,47,-384,-,-999,963,-384,-,311,-499,,34,-,150,-,-161,-161,-,-,-,23,,1552,-,-322,1230,,-437,-283,,,-,-,-,2.59,2.59,-,17.27,0.38,-,0.34,-2.79,-2.45,-8.44,-40.82,-,14.86,1.18,0.31,20.93,-,-10.39,,,2722.755,2389.755,0.19,-0.11,0.02,-0.05,0.08,0.42,-,-,0.02,2.05,3,-3.89,0.134,-16.54,1.88,1.64,0.8,-,0.26,0.12,-2.77,-1.25,-9.01,-29.32,-25.8,24.92,-,14118.944,14330.288,-0.35,12/22/99,12/5/97,-,-,8437,,1
1998-09,,0.316,0.027,0.021,0.019,0.017,0.025,0.039,0.041,0.152,-,0.099,0.099,0.063,0.34,,,21.745,6.3,7.2518,21.7452,7.2518,77.73,15.085,7.25,-228.44,19.17,7.01,6.42,,24.89,4.3932,5.2011,8.4498,12.2707,,0.581,0.383,0.222,0.62,34.71,8.15,0.95,,1.394,-,,61.13,57.42,21.06,24.77,,5.97,17.33,0.75,-,0.043,0.01,0.18,0.06,,,5941,4462,1479,24.89,,908,310,-,1218,261,4.3932,,100,-62,38,30,329,-20,6.08,-,309,309,-,-,309,5.2011,,-,0.021,0.019,18806.704,,391,111,502,8.4498,,,1481,819,2300,955,-,-,-,955,32,5,-,41,-,78,365,3698,-,338,-,357,-,129,824,-476,348,-,-,243,591,4289,,719,-,-,337,1056,-,-,-,-,-,-,464,1520,954,-,954,0.581,-,173,-,1127,2647,,633,150,898,-39,-,-,-,1642,-,1642,0.383,,,309,111,72,359,-,-73,29,387,1,-,-,-,-33,775,,-46,89,-,24,-2313,1723,-10,-,-10,-543,,41,-,-,3,-25,-22,-,-,-,19,,1230,-,251,1481,,-46,729,,,17.89,20,13.6,3.45,3.45,8.72,8.29,1.08,-,0.67,7.87,10.11,5.42,9.89,-,31.39,2.16,0.56,27.64,-,14.16,,,5148.149,3952.149,0.34,-0.02,0.06,0.02,0.06,0.2,-,0.19,0.04,3.76,7,-3.25,0.07,1.8,2.43,2.38,1.51,4.21,0.38,0.12,-5.66,-0.8,1.19,-37.01,125.33,144.03,-,14781.088,15141.616,0.46,12/14/00,12/23/98,-,-,6658,,1
1999-09,,0.314,0.041,0.037,0.032,0.022,0.046,0.039,0.042,0.179,-,0.164,0.164,0.017,0.54,,,25.327,7.69,12.7196,25.3266,12.7196,217.12,22.661,-3.64,34.68,28.68,8.82,7.5,,27.65,6.2928,9.7978,13.1725,12.2432,,0.097,0.601,0.058,0.4,35.894,20.56,1.25,,1.298,-,,48.67,62.96,4.03,-10.25,,7.5,90.57,0.72,-,0.008,0.01,0.18,0.09,,,6134,4438,1696,27.65,,996,314,-,1310,386,6.2928,,144,-47,97,193,676,-75,11.09,-,601,601,-,-,601,9.7978,,-,0.038,0.032,19506.368,,723,85,808,13.1725,,,1326,1900,3226,681,-,-,-,681,4,3,-,13,-,20,358,4285,339,323,-,281,-,125,729,-411,318,-,-,219,876,5161,,812,-,-,275,1087,-,-,-,-,-,-,462,1549,300,-,300,0.097,-,208,-,508,2057,,1349,150,1499,106,-,-,-,3104,-,3104,0.601,,,601,85,274,58,-,95,-26,401,-35,-,-,-,-230,822,,-71,23,-,245,-4348,3155,-,-,8,-988,,86,-75,-,-,-,-,-,-,-,11,,1481,-,-155,1326,,-71,751,,,16.88,24.55,11.74,3.29,3.29,13.85,12.86,1.72,-,1.13,8.6,9.61,9.25,10.41,4.3,53.64,3.37,0.9,35.34,-,7.72,,,9725.124,6949.124,0.54,0.06,0.12,0.09,0.22,0.19,-,0.28,0.16,5.53,9,-2.67,0.042,14.86,2.77,2.75,2.08,8.21,0.71,0.28,-18.94,-0.11,3.36,-0.45,72.38,55.18,-,16033.584,18009.488,0.52,12/21/01,12/22/99,-,-,9736,,1
2000-09,,0.396,0.059,0.055,0.039,0.029,0.053,0.036,0.043,0.214,-,0.214,0.214,0.016,0.46,,,21.8,10.16,13.1394,21.8,13.1394,302.04,26.244,-218.18,17.89,27.61,17.2,7,,27.13,7.7665,9.8459,14.9944,9.0943,,0.073,0.604,0.044,0.4,36.209,2.96,0.17,,1.335,-,,37.36,61.77,1.66,-22.76,,9.77,219.51,0.73,-,0.003,0.02,0.23,0.16,,,7983,5817,2166,27.13,,1166,380,-,1546,620,7.7665,,210,-21,189,283,1092,-306,28.02,-,786,786,-,-,786,9.8459,,-,0.043,0.039,20178.144,,1113,84,1197,14.9944,,,1191,2836,4027,953,-,-,-,953,1,2,-,30,-,33,414,5427,786,324,-,351,-,131,806,-387,419,-,-,171,1376,6803,,1157,-,-,257,1414,-,-,-,105,-,105,414,1933,300,-,300,0.073,-,463,-,763,2696,,1502,76,2285,244,-,-,-,4107,-,4107,0.604,,,786,84,-272,-13,-,318,159,192,163,-,-,-,-357,868,,-142,11,-,372,-4499,3331,-,-,-45,-972,,85,-116,-,-,-,-,-,-,-,-31,,1326,-,-135,1191,,-142,726,,,11.79,15.86,8.68,2.15,2.15,12.78,10.7,1.16,-,0.63,4.17,4.49,6.88,22.27,6.63,47.55,2.65,0.75,36.9,-,8.4,,,8647.037,4996.037,0.46,0.07,0.14,0.11,0.32,0.24,-,0.38,0.2,4.72,7,-2.18,0.074,13.08,2.81,2.79,2.08,29.52,1.29,0.46,-4.38,0.36,4.14,25.81,20.44,43.21,-,18175.808,18797.906,1.97,12/19/02,12/14/00,-,-,11728,,1
2001-09,,0.277,0.003,-0.002,-0.001,-0.005,0.003,-0.002,0.01,0.221,-,0.199,0.196,0.016,0.28,,,-0.623,-0.44,-0.3899,-0.6289,-0.3922,-7.32,-0.768,553.85,132.15,-14.96,15.51,5.19,,23.03,-6.4143,-0.4662,1.1934,-0.8764,,0.081,0.651,0.053,0.35,19.261,3.16,1.01,,0.836,-,,48.29,86.56,1.95,-36.33,,7.56,187.64,0.77,-,0.004,0.04,-,1.25,,,5363,4128,1235,23.03,,1138,441,-,1579,-344,-6.4143,,218,-16,202,90,-52,15,28.85,12,-25,-37,-,-,-25,-0.4662,,-,-0.001,-0.001,19354.328,,-36,100,64,1.1934,,,2310,2026,4336,466,-,-,-,466,1,-,-,10,-,11,330,5143,128,337,-,437,-,186,960,-396,564,76,66,110,878,6021,,801,-,-,218,1019,-,-,-,184,-,184,315,1518,317,-,317,0.081,-,266,-,583,2101,,1693,-,2260,-22,-,-,-11,3920,-,3920,0.651,,,-37,100,487,22,-,-356,58,211,-36,2,-,-,-55,185,,-232,-,-19,340,-4268,5429,-,-,-358,892,,42,-,-,-,-,-,-,-,-,42,,1191,-,1119,2310,,-232,-47,,,-,-,93.33,1.4,1.43,-,28,1.01,-,0.28,23.18,-41.21,-31.56,-2.43,8.48,42.53,1.55,0.47,21.49,-,-0.85,,,5502.452,1483.452,0.28,0.11,0.15,0.13,0.28,0.17,-,-,0.22,3.69,4,-3.46,-0.015,-18.3,3.39,3.38,2.86,-,0.47,0.25,-4.54,-0.76,-1.04,-29.96,-103.21,-94.43,-,19354.328,19651.613,1.93,12/19/03,12/21/01,-,-,11434,,1
